Imported from ls-q2d-8mm-P10-typeE-7x2L130-sample01.h5 hdf Network
  2135.166611 2783.194092 1886.144554 box dimensions in microns
  30 30 15 number of tissue points in x,y,z directions
  1000.000000 outer bound distance (100. in test case)
  55.000000 max. segment length.  (5. in test case)
  3 nodsegm, max. allowed number of segments per node
  158 total number of segments
name	type	from	to	diam		flow		HD
1 5 3 2 19.541748 6.5470737507 0.370000
2 5 1 4 15.000007 6.5470737507 0.370000
3 5 4 5 15.000006 6.0870729926 0.370000
4 5 6 3 9.575400 0.5129080009 0.370000
5 5 5 7 14.812485 5.7882617311 0.370000
6 5 7 8 10.772177 2.4921887035 0.370000
7 5 7 9 12.599214 3.2960730276 0.370000
8 5 10 3 18.743219 6.0341657497 0.370000
9 5 11 10 16.373709 3.5122747745 0.370000
10 5 12 10 12.995821 2.5218909753 0.370000
11 5 8 13 10.400421 2.1343355808 0.370000
12 5 13 14 6.299605 0.5360125183 0.370000
13 5 13 15 9.564657 1.5983230626 0.370000
14 5 9 16 11.756676 2.7646197836 0.370000
15 5 16 17 9.085605 1.1596640345 0.370000
16 5 16 18 9.564657 1.6049557491 0.370000
17 5 19 84 7.600000 0.2382270631 0.370000
18 5 20 49 12.064251 2.2235569063 0.370000
19 5 21 68 7.600001 0.3251848113 0.370000
20 5 22 11 15.808640 3.2996727208 0.370000
21 5 23 62 9.575401 0.6602401957 0.370000
22 5 24 11 7.600000 0.2126020536 0.370000
23 5 87 25 5.000000 0.0602294402 0.370000
24 5 18 26 8.549881 1.2997001221 0.370000
25 5 27 6 7.600000 0.1806883207 0.370000
26 5 26 28 8.549881 1.0019644475 0.370000
27 5 17 29 8.549881 0.9753823371 0.370000
28 5 30 22 13.810119 2.2518115684 0.370000
29 5 31 30 12.995819 1.6987764295 0.370000
30 5 32 30 7.600000 0.5530351389 0.370000
31 5 15 33 7.937006 0.9829942443 0.370000
32 5 33 34 7.211248 0.7364225430 0.370000
33 5 35 57 7.600000 0.2991646983 0.370000
34 5 36 56 7.600000 0.3149462471 0.370000
35 5 37 31 12.064249 1.4378162514 0.370000
36 5 88 38 5.000000 0.1938104783 0.370000
37 5 29 39 7.937006 0.7148902853 0.370000
38 5 40 91 7.600000 0.0919638179 0.370000
39 5 39 41 7.211248 0.5564946007 0.370000
40 5 42 82 7.600001 0.6442824555 0.370000
41 5 43 86 7.600000 0.3254803102 0.370000
42 5 96 44 5.000000 0.2110362433 0.370000
43 5 34 45 7.211248 0.3721311924 0.370000
44 5 45 46 5.000000 0.1747509703 0.370000
45 5 45 47 6.299605 0.1973802221 0.370000
46 5 28 48 7.937006 0.7192782520 0.370000
47 5 49 58 12.995821 2.5218909753 0.370000
48 5 48 50 7.211248 0.5129080009 0.370000
49 5 50 51 5.000000 0.1901386605 0.370000
50 5 50 52 6.299605 0.3227693404 0.370000
51 5 53 23 9.575400 0.3023870730 0.370000
52 5 14 54 5.000000 0.2355670452 0.370000
53 5 95 55 5.000000 0.0824532125 0.370000
54 5 56 37 10.961098 0.9549002547 0.370000
55 5 57 97 7.600000 0.3192737319 0.370000
56 5 58 12 12.995821 2.5218909753 0.370000
57 5 59 20 9.575403 1.5807159356 0.370000
58 5 9 60 7.211248 0.5314532440 0.370000
59 5 61 6 7.600000 0.3322196802 0.370000
60 5 62 22 10.961098 1.0478611524 0.370000
61 5 63 59 9.575403 1.4293466512 0.370000
62 5 64 32 7.600000 0.3064634376 0.370000
63 5 17 65 5.000000 0.1842816974 0.370000
64 5 66 31 7.600000 0.2609601781 0.370000
65 5 55 67 5.000000 0.0824532125 0.370000
66 5 68 93 7.600001 0.6229204859 0.370000
67 5 18 69 6.299605 0.3052556270 0.370000
68 5 70 42 7.600001 0.6442824555 0.370000
69 5 71 73 7.600000 0.0872508703 0.370000
70 5 72 21 7.600000 0.1513998211 0.370000
71 5 73 70 7.600000 0.1842816974 0.370000
72 5 48 74 5.000000 0.2063702511 0.370000
73 5 28 76 5.000000 0.2826861954 0.370000
74 5 77 20 9.575400 0.6428409707 0.370000
75 5 78 53 7.600000 0.1969868233 0.370000
76 5 69 79 5.000000 0.3052556270 0.370000
77 5 54 80 5.000000 0.1144411861 0.370000
78 5 89 81 5.000000 0.1938163375 0.370000
79 5 82 63 7.600002 0.7242777510 0.370000
80 5 104 83 5.000000 0.2277078616 0.370000
81 5 84 56 9.575401 0.6399540076 0.370000
82 5 39 85 5.000000 0.1583956846 0.370000
83 5 86 77 7.600000 0.4567972213 0.370000
84 5 52 87 5.000000 0.1806883207 0.370000
85 5 104 88 6.299605 0.3876209567 0.370000
86 5 41 89 6.299605 0.3943508909 0.370000
87 5 90 62 7.600000 0.3876209567 0.370000
88 5 91 49 7.600000 0.2983340690 0.370000
89 5 85 92 5.000000 0.1583956846 0.370000
90 5 93 63 7.600002 0.7050689002 0.370000
91 5 33 94 5.000000 0.2465717013 0.370000
92 5 29 95 5.000000 0.2604920518 0.370000
93 5 60 96 6.299605 0.3576682538 0.370000
94 5 97 84 7.600001 0.4017269445 0.370000
95 5 98 106 7.600000 0.1186246461 0.370000
96 5 41 99 5.000000 0.1621437098 0.370000
97 5 52 100 5.000000 0.1420810197 0.370000
98 5 110 101 5.000000 0.2988112615 0.370000
99 5 8 102 5.000000 0.3578531227 0.370000
100 5 96 103 5.000000 0.1466320105 0.370000
101 5 15 104 7.211248 0.6153288182 0.370000
102 5 14 105 5.000000 0.3004454731 0.370000
103 5 106 37 7.600000 0.4829159967 0.370000
104 5 47 108 5.000000 0.1186246461 0.370000
105 5 47 109 5.000000 0.0787555761 0.370000
106 5 5 110 5.000000 0.2988112615 0.370000
107 5 80 111 5.000000 0.0201090336 0.370000
108 5 112 77 7.600000 0.1860437495 0.370000
109 5 60 113 5.000000 0.1737849902 0.370000
110 5 114 72 7.600000 0.0739398538 0.370000
111 5 89 116 5.000000 0.2005345534 0.370000
112 5 88 117 5.000000 0.1938104783 0.370000
113 5 118 53 7.600000 0.1054002498 0.370000
114 5 117 90 5.000000 0.1938104783 0.370000
115 5 4 70 5.000000 0.4600007581 0.370000
116 5 80 19 5.000000 0.0943321525 0.370000
