Imported from ssels-default-typeE-17x1L130-sample00.h5 hdf Network
  3855.333221 4881.332794 1900.666443 box dimensions in microns
  30 30 15 number of tissue points in x,y,z directions
  1000.000000 outer bound distance (100. in test case)
  55.000000 max. segment length.  (5. in test case)
  3 nodsegm, max. allowed number of segments per node
  189 total number of segments
name	type	from	to	diam		flow		HD
1 5 14 55 7.600000 0.2181565935 0.518976
2 5 18 57 11.447145 1.7153251231 0.410329
3 5 3 58 17.517004 7.4873001723 0.370000
4 5 170 4 9.575400 0.7270882306 0.384367
5 5 60 5 12.995820 2.1941414392 0.303677
6 5 61 6 20.279865 7.0280338228 0.364101
7 5 7 107 5.000000 0.3830914875 0.312241
8 5 63 8 18.317089 5.7443504446 0.353515
9 5 10 65 9.564657 0.7641884727 0.432438
10 5 11 66 13.342015 2.5649942323 0.365079
11 5 12 67 13.342016 4.2887217692 0.385309
12 5 13 68 12.050716 2.6127666113 0.378007
13 5 125 14 7.600000 0.2181565935 0.518976
14 5 17 15 7.600000 0.7455327606 0.393151
15 5 16 133 5.000000 0.3341790960 0.359402
16 5 136 17 12.995819 2.0055989106 0.363269
17 5 20 73 17.517006 7.4873001723 0.370000
18 5 74 21 12.064249 1.8036980945 0.293755
19 5 75 22 14.538280 3.0889531956 0.328033
20 5 76 23 20.279869 7.0280338228 0.364101
21 5 77 24 9.575400 1.4540569524 0.290912
22 5 78 25 18.317093 5.7443504446 0.353515
23 5 26 79 12.856414 2.1537778335 0.379704
24 5 27 111 5.000000 0.2075933251 0.393709
25 5 28 81 14.010204 3.1985784031 0.349474
26 5 29 82 13.572098 4.2887217692 0.385309
27 5 30 83 12.331067 2.6127666113 0.378007
28 5 31 84 5.000000 0.3904433447 0.349514
29 5 32 85 11.756677 2.0984166105 0.392422
30 5 17 33 12.064249 1.2600661500 0.345589
31 5 34 87 10.772177 1.3540781059 0.412347
32 5 35 88 7.211248 0.9264148357 0.365964
33 5 36 89 8.549880 0.5565951476 0.446883
34 5 19 85 5.000000 0.5143500007 0.319199
35 5 37 91 5.000000 0.2561540974 0.349442
36 5 39 93 7.211248 0.4316417449 0.406924
37 5 40 94 12.599215 2.1537778335 0.379704
38 5 41 95 11.119904 1.7445214507 0.398284
39 5 123 42 7.600000 0.8204727816 0.294475
40 5 43 97 5.000000 0.1882711133 0.354833
41 5 44 98 10.000003 1.3540781059 0.412347
42 5 4 45 7.600000 0.5194949055 0.380634
43 5 46 36 7.937006 0.5565951476 0.446883
44 5 47 101 9.564658 1.0198990099 0.429695
45 5 134 48 7.600000 0.1954550898 0.530590
46 5 50 122 7.211248 0.2418068446 0.493799
47 5 51 95 5.000000 0.4092563828 0.300504
48 5 56 52 10.961098 0.8793758988 0.405511
49 5 116 54 7.600001 0.2638112597 0.408159
50 5 57 32 11.756676 2.0984166105 0.392422
51 5 58 20 17.517006 7.4873001723 0.370000
52 5 59 118 5.000000 0.0612464274 0.437304
53 5 22 60 13.810120 2.8527250928 0.324776
54 5 23 61 20.279867 7.0280338228 0.364101
55 5 62 142 5.000000 0.3586171002 0.331755
56 5 25 63 18.317091 5.7443504446 0.353515
57 5 64 115 5.000000 0.6335841708 0.286300
58 5 65 18 10.000002 1.0328408489 0.418802
59 5 66 28 13.794628 3.1985784031 0.349474
60 5 67 29 13.342017 4.2887217692 0.385309
61 5 68 30 12.050717 2.6127666113 0.378007
62 5 69 11 5.000000 0.4112163988 0.288474
63 5 150 70 7.600000 0.1522876682 0.506459
64 5 72 160 8.549881 0.5056181043 0.449116
65 5 73 1 17.517006 7.4873001723 0.370000
66 5 5 74 12.064250 1.8036980945 0.293755
67 5 8 75 18.317087 5.7443504446 0.353515
68 5 2 76 20.967840 7.4873001723 0.370000
69 5 21 77 10.961098 1.8036980945 0.293755
70 5 6 78 18.317095 5.7443504446 0.353515
71 5 79 11 13.103713 2.1537778335 0.379704
72 5 80 139 5.000000 0.0612464274 0.437304
73 5 81 3 14.010205 3.1985784031 0.349474
74 5 82 3 13.794631 4.2887217692 0.385309
75 5 83 12 12.331068 2.6127666113 0.378007
76 5 84 41 5.000000 0.3904433447 0.349514
77 5 85 13 12.050715 2.6127666113 0.378007
78 5 173 86 7.600000 0.6104865146 0.281570
79 5 87 41 10.772177 1.3540781059 0.412347
80 5 88 12 7.937006 1.6759551579 0.396691
81 5 89 10 9.085604 0.5565951476 0.446883
82 5 90 47 5.000000 0.3244045576 0.431808
83 5 91 35 6.299605 0.5677977355 0.387570
84 5 33 92 7.600000 0.3626246618 0.418252
85 5 93 18 7.937006 0.6824842742 0.397506
86 5 94 26 12.599216 2.1537778335 0.379704
87 5 95 40 11.447145 2.1537778335 0.379704
88 5 96 46 5.000000 0.3253832891 0.541459
89 5 97 39 6.299605 0.4316417449 0.406924
90 5 98 34 10.400422 1.3540781059 0.412347
91 5 4 99 7.600000 0.2075933251 0.393709
92 5 5 100 7.600000 0.3904433447 0.349514
93 5 101 44 9.564658 1.0198990099 0.429695
94 5 33 102 10.961098 0.8974414882 0.316228
95 5 56 106 7.600000 0.4043074794 0.424443
96 5 107 57 5.000000 0.3830914875 0.312241
97 5 124 108 7.600000 0.6335841708 0.286300
98 5 6 110 12.995819 1.2836833782 0.411474
99 5 110 56 12.064249 1.2836833782 0.411474
100 5 111 10 5.000000 0.2075933251 0.393709
101 5 112 43 5.000000 0.1882711133 0.354833
102 5 52 113 9.575400 0.7270882306 0.384367
103 5 127 114 7.600000 0.4316417449 0.406924
104 5 115 66 6.299605 0.6335841708 0.286300
105 5 144 116 7.600001 0.2638112597 0.408159
106 5 125 117 12.995821 2.0055989106 0.363269
107 5 118 156 6.299605 0.1075981822 0.394807
108 5 119 91 5.000000 0.3116436381 0.418909
109 5 120 69 5.000000 0.4112163988 0.288474
110 5 22 121 7.600000 0.2362281029 0.367361
111 5 122 163 7.937006 0.3398175331 0.458598
112 5 124 123 7.600000 0.8204727816 0.294475
113 5 132 124 9.575400 1.4540569524 0.290912
114 5 127 125 13.810121 2.2237555041 0.378545
115 5 126 46 7.211248 0.2312118585 0.313783
116 5 75 127 14.538281 2.6553972489 0.383158
