Imported from ls-asymmetric-typeE-9x11L130-sample00.h5 hdf Network
  2730.222137 3315.944035 2971.445557 box dimensions in microns
  30 30 15 number of tissue points in x,y,z directions
  1000.000000 outer bound distance (100. in test case)
  55.000000 max. segment length.  (5. in test case)
  3 nodsegm, max. allowed number of segments per node
  154 total number of segments
name	type	from	to	diam		flow		HD
1 5 91 92 56.696671 143.1347374300 0.370000
2 5 93 3 27.214329 143.1347374299 0.370000
3 5 94 4 21.600019 52.7233287948 0.343766
4 5 95 5 21.600029 90.4114086350 0.385298
5 5 6 96 56.696655 143.1347374300 0.370000
6 5 7 97 39.311310 70.9113009998 0.374977
7 5 8 98 49.529049 72.2234364301 0.365113
8 5 99 9 21.600025 90.4114086350 0.385298
9 5 100 10 21.600021 90.4114086350 0.385298
10 5 11 101 39.311211 70.9113009998 0.374977
11 5 102 12 21.600016 52.7233287948 0.343766
12 5 104 14 21.600012 52.7233287948 0.343766
13 5 15 105 39.311302 70.9113009998 0.374977
14 5 16 106 39.311188 70.9113009997 0.374977
15 5 17 107 39.311295 70.9113009998 0.374977
16 5 18 108 49.529041 72.2234364301 0.365113
17 5 19 109 39.311180 70.9113009997 0.374977
18 5 20 110 49.529034 72.2234364301 0.365113
19 5 21 111 39.311287 70.9113009998 0.374977
20 5 22 112 39.311279 70.9113009998 0.374977
21 5 114 24 21.600008 52.7233287948 0.343766
22 5 115 25 21.600004 52.7233287948 0.343766
23 5 26 116 39.311218 70.9113009998 0.374977
24 5 117 27 21.600018 90.4114086350 0.385298
25 5 118 28 21.600014 90.4114086350 0.385298
26 5 30 120 49.529026 72.2234364300 0.365113
27 5 31 121 49.529018 72.2234364300 0.365113
28 5 32 122 39.311203 70.9113009998 0.374977
29 5 33 123 36.993244 72.2234364301 0.365113
30 5 35 125 49.529011 72.2234364301 0.365113
31 5 126 36 21.600010 90.4114086350 0.385298
32 5 128 38 21.600006 90.4114086350 0.385298
33 5 39 129 39.311272 70.9113009998 0.374977
34 5 41 131 39.311264 70.9113009998 0.374977
35 5 132 42 21.600000 52.7233287948 0.343766
36 5 43 280 25.649652 72.2234364302 0.365113
37 5 44 134 39.311226 70.9113009998 0.374977
38 5 45 135 36.993229 72.2234364301 0.365113
39 5 46 136 49.528988 72.2234364300 0.365113
40 5 138 48 21.600002 90.4114086350 0.385298
41 5 49 139 39.311241 70.9113009999 0.374977
42 5 140 50 21.600000 90.4114086350 0.385298
43 5 53 143 25.649666 70.9113009997 0.374977
44 5 55 145 49.529003 72.2234364301 0.365113
45 5 56 146 39.311234 70.9113009998 0.374977
46 5 58 148 49.528996 72.2234364300 0.365113
47 5 59 149 39.311195 70.9113009997 0.374977
48 5 60 150 39.311256 70.9113009999 0.374977
49 5 61 151 39.311249 70.9113009999 0.374977
50 5 62 73 31.201286 72.2234364301 0.365113
51 5 64 154 25.649670 70.9113009997 0.374977
52 5 65 155 44.437515 72.2234364301 0.365113
53 5 69 159 36.993237 72.2234364301 0.365113
54 5 72 162 18.898825 70.9113009997 0.374977
55 5 73 240 31.201288 72.2234364301 0.365113
56 5 74 72 18.898823 70.9113009997 0.374977
57 5 75 62 31.201284 72.2234364301 0.365113
58 5 84 174 31.201294 72.2234364301 0.365113
59 5 90 2 27.214333 143.1347374299 0.370000
60 5 1 91 56.696667 143.1347374301 0.370000
61 5 2 93 27.214331 143.1347374299 0.370000
62 5 3 94 21.600021 52.7233287948 0.343766
63 5 3 95 21.600031 90.4114086350 0.385298
64 5 96 1 56.696659 143.1347374300 0.370000
65 5 97 6 39.311314 70.9113009998 0.374977
66 5 98 6 49.529053 72.2234364301 0.365113
67 5 5 99 21.600027 90.4114086350 0.385298
68 5 9 100 21.600023 90.4114086350 0.385298
69 5 101 26 39.311214 70.9113009998 0.374977
70 5 4 102 21.600018 52.7233287948 0.343766
71 5 12 104 21.600014 52.7233287948 0.343766
72 5 105 7 39.311306 70.9113009998 0.374977
73 5 106 59 39.311192 70.9113009997 0.374977
74 5 107 15 39.311298 70.9113009999 0.374977
75 5 108 8 49.529045 72.2234364301 0.365113
76 5 109 16 39.311184 70.9113009998 0.374977
77 5 110 18 49.529037 72.2234364301 0.365113
78 5 111 17 39.311291 70.9113009998 0.374977
79 5 112 21 39.311283 70.9113009998 0.374977
80 5 14 114 21.600010 52.7233287948 0.343766
81 5 24 115 21.600006 52.7233287948 0.343766
82 5 116 44 39.311222 70.9113009998 0.374977
83 5 10 117 21.600019 90.4114086350 0.385298
84 5 27 118 21.600016 90.4114086350 0.385298
85 5 120 20 49.529030 72.2234364300 0.365113
86 5 121 30 49.529022 72.2234364300 0.365113
87 5 122 11 39.311207 70.9113009998 0.374977
88 5 123 65 36.993248 72.2234364301 0.365113
89 5 125 31 49.529015 72.2234364301 0.365113
90 5 28 126 21.600012 90.4114086350 0.385298
91 5 36 128 21.600008 90.4114086350 0.385298
92 5 129 22 39.311275 70.9113009998 0.374977
93 5 131 39 39.311268 70.9113009999 0.374977
94 5 25 132 21.600002 52.7233287948 0.343766
95 5 42 133 21.600000 52.7233287948 0.343766
96 5 134 56 39.311230 70.9113009998 0.374977
97 5 135 69 36.993233 72.2234364301 0.365113
98 5 136 58 49.528992 72.2234364301 0.365113
99 5 38 138 21.600004 90.4114086350 0.385298
100 5 139 61 39.311245 70.9113009998 0.374977
101 5 48 140 21.600000 90.4114086350 0.385298
102 5 143 64 25.649668 70.9113009997 0.374977
103 5 145 35 49.529007 72.2234364301 0.365113
104 5 146 49 39.311237 70.9113009998 0.374977
105 5 147 209 23.811022 72.2234364301 0.365113
106 5 148 55 49.528999 72.2234364301 0.365113
107 5 149 32 39.311199 70.9113009998 0.374977
108 5 150 41 39.311260 70.9113009999 0.374977
109 5 151 60 39.311253 70.9113009998 0.374977
110 5 154 19 25.649672 70.9113009997 0.374977
111 5 155 46 44.437519 72.2234364301 0.365113
112 5 159 33 36.993240 72.2234364301 0.365113
113 5 162 53 18.898827 70.9113009997 0.374977
114 5 174 45 31.201296 72.2234364301 0.365113
115 5 175 84 31.201292 72.2234364301 0.365113
116 5 184 74 18.898821 70.9113009997 0.374977
