Imported from s-asymmetric-typeE-17x21L130-sample00.h5 hdf Network
  4590.444275 5744.471436 4942.891113 box dimensions in microns
  30 30 15 number of tissue points in x,y,z directions
  1000.000000 outer bound distance (100. in test case)
  55.000000 max. segment length.  (5. in test case)
  3 nodsegm, max. allowed number of segments per node
  352 total number of segments
name	type	from	to	diam		flow		HD
1 5 443 90 27.214373 125.6524981330 0.370000
2 5 444 92 143.142883 125.6524981259 0.370000
3 5 445 3 27.214361 125.6524981330 0.370000
4 5 446 4 21.600035 63.2788517221 0.374908
5 5 447 5 21.600058 62.3736464109 0.365021
6 5 6 448 143.142776 125.6524981215 0.370000
7 5 7 449 104.796875 34.7624351028 0.362311
8 5 8 450 121.238342 90.8900630157 0.372941
9 5 451 9 21.600050 62.3736464109 0.365021
10 5 452 10 21.600042 62.3736464109 0.365021
11 5 11 453 104.796257 34.7624351110 0.362311
12 5 454 12 21.600027 63.2788517221 0.374908
13 5 456 14 21.600019 63.2788517221 0.374908
14 5 15 457 104.796814 34.7624351002 0.362311
15 5 16 458 104.796074 34.7624351127 0.362311
16 5 17 459 104.796753 34.7624351039 0.362311
17 5 18 460 121.238281 90.8900630197 0.372941
18 5 19 461 104.796013 34.7624351163 0.362311
19 5 20 462 121.238220 90.8900630226 0.372941
20 5 21 463 104.796692 34.7624351027 0.362311
21 5 22 464 104.796631 34.7624351051 0.362311
22 5 23 465 52.551170 34.7624351157 0.362311
23 5 466 24 21.600012 63.2788517221 0.374908
24 5 467 25 21.600004 63.2788517221 0.374908
25 5 26 468 104.796318 34.7624351119 0.362311
26 5 469 27 21.600035 62.3736464109 0.365021
27 5 470 28 21.600027 62.3736464109 0.365021
28 5 30 472 121.238159 90.8900630251 0.372941
29 5 31 473 121.238098 90.8900630207 0.372941
30 5 32 474 104.796196 34.7624351118 0.362311
31 5 33 475 85.161659 90.8900630164 0.372941
32 5 35 477 121.238037 90.8900630175 0.372941
33 5 478 36 21.600019 62.3736464109 0.365021
34 5 37 479 98.481644 34.7624351154 0.362311
35 5 480 38 21.600012 62.3736464109 0.365021
36 5 39 481 104.796570 34.7624351081 0.362311
37 5 40 482 69.855377 90.8900630169 0.372941
38 5 41 483 104.796509 34.7624351100 0.362311
39 5 44 486 104.796356 34.7624351095 0.362311
40 5 45 487 85.161598 90.8900630169 0.372941
41 5 46 488 121.237854 90.8900630166 0.372941
42 5 47 489 69.855408 90.8900630173 0.372941
43 5 490 48 21.600004 62.3736464109 0.365021
44 5 49 491 104.796417 34.7624351128 0.362311
45 5 52 494 52.551125 34.7624351162 0.362311
46 5 54 496 52.551151 34.7624351159 0.362311
47 5 55 497 121.237976 90.8900630155 0.372941
48 5 56 498 104.796387 34.7624351094 0.362311
49 5 58 500 121.237915 90.8900630227 0.372941
50 5 59 501 104.796135 34.7624351105 0.362311
51 5 60 502 104.796478 34.7624351122 0.362311
52 5 61 503 104.796448 34.7624351155 0.362311
53 5 65 507 106.211037 90.8900630162 0.372941
54 5 67 509 52.551109 34.7624351161 0.362311
55 5 69 511 85.161629 90.8900630159 0.372941
56 5 71 513 69.855286 90.8900630165 0.372941
57 5 90 531 27.214371 125.6524981330 0.370000
58 5 532 91 143.142853 125.6524981336 0.370000
59 5 533 93 27.214365 125.6524981330 0.370000
60 5 534 94 21.600039 63.2788517221 0.374908
61 5 535 95 21.600061 62.3736464109 0.365021
62 5 96 536 143.142807 125.6524981385 0.370000
63 5 97 537 104.796906 34.7624351027 0.362311
64 5 98 538 121.238373 90.8900630198 0.372941
65 5 539 99 21.600054 62.3736464109 0.365021
66 5 540 100 21.600046 62.3736464109 0.365021
67 5 101 541 104.796288 34.7624351100 0.362311
68 5 542 102 21.600031 63.2788517221 0.374908
69 5 544 104 21.600023 63.2788517221 0.374908
70 5 105 545 104.796844 34.7624351040 0.362311
71 5 106 546 104.796104 34.7624351101 0.362311
72 5 107 547 104.796783 34.7624351003 0.362311
73 5 108 548 121.238312 90.8900630186 0.372941
74 5 109 549 104.796043 34.7624351131 0.362311
75 5 110 550 121.238251 90.8900630169 0.372941
76 5 111 551 104.796722 34.7624351030 0.362311
77 5 112 552 104.796661 34.7624351055 0.362311
78 5 113 553 52.551178 34.7624351157 0.362311
79 5 554 114 21.600016 63.2788517221 0.374908
80 5 555 115 21.600008 63.2788517221 0.374908
81 5 116 556 104.796341 34.7624351110 0.362311
82 5 557 117 21.600039 62.3736464109 0.365021
83 5 558 118 21.600031 62.3736464109 0.365021
84 5 120 560 121.238190 90.8900630244 0.372941
85 5 121 561 121.238129 90.8900630250 0.372941
86 5 122 562 104.796227 34.7624351109 0.362311
87 5 123 563 85.161674 90.8900630160 0.372941
88 5 125 565 121.238068 90.8900630237 0.372941
89 5 566 126 21.600023 62.3736464109 0.365021
90 5 127 567 98.481667 34.7624351141 0.362311
91 5 568 128 21.600016 62.3736464109 0.365021
92 5 129 569 104.796600 34.7624351068 0.362311
93 5 130 570 69.855392 90.8900630171 0.372941
94 5 131 571 104.796539 34.7624351097 0.362311
95 5 572 132 21.600000 63.2788517221 0.374908
96 5 134 574 104.796371 34.7624351091 0.362311
97 5 135 575 85.161613 90.8900630169 0.372941
98 5 136 576 121.237885 90.8900630208 0.372941
99 5 137 577 69.855423 90.8900630172 0.372941
100 5 578 138 21.600008 62.3736464109 0.365021
101 5 139 579 104.796432 34.7624351152 0.362311
102 5 580 140 21.600000 62.3736464109 0.365021
103 5 142 582 52.551136 34.7624351160 0.362311
104 5 144 584 52.551163 34.7624351158 0.362311
105 5 145 585 121.238007 90.8900630155 0.372941
106 5 146 586 104.796402 34.7624351097 0.362311
107 5 148 588 121.237946 90.8900630149 0.372941
108 5 149 589 104.796165 34.7624351125 0.362311
109 5 150 590 104.796494 34.7624351089 0.362311
110 5 151 591 104.796463 34.7624351148 0.362311
111 5 155 595 106.211052 90.8900630170 0.372941
112 5 156 596 52.551102 34.7624351163 0.362311
113 5 157 597 52.551117 34.7624351161 0.362311
114 5 159 599 85.161644 90.8900630165 0.372941
115 5 165 605 48.594254 33.9381006864 0.350800
116 5 180 621 52.551094 34.7624351164 0.362311
